PH_Width,PH_Length,PH_Depth,PH_Type,PH_Label
0.453,1.474,0.044,2,Mid_ph
2.997,4.155,0.004,0,drivable_path
0.45,0.512,0.036,2,Mid_ph
3.375,6.071,0.008,0,drivable_path
2.791,4.521,0.003,0,drivable_path
0.227,0.512,0.029,2,Mid_ph
0.355,0.414,0.043,2,Mid_ph
2.955,4.229,0.001,0,drivable_path
2.517,3.763,0.001,0,drivable_path
2.09,3.029,0.108,3,Crater
2.555,3.349,0.005,0,drivable_path
2.631,4.692,0.007,0,drivable_path
0.403,0.379,0.025,2,Mid_ph
3.067,3.863,0.002,0,drivable_path
0.48,1.477,0.027,2,Mid_ph
0.245,1.333,0.046,2,Mid_ph
0.603,3.446,0.144,3,Crater
2.69,6.33,0.004,0,drivable_path
0.631,0.438,0.018,1,Sml_ph
0.252,1.368,0.037,2,Mid_ph
2.373,1.145,0.072,3,Crater
1.496,2.107,0.152,3,Crater
2.516,6.878,0.004,0,drivable_path
0.208,0.78,0.047,2,Mid_ph
3.292,3.082,0.001,0,drivable_path
2.487,3.38,0.059,3,Crater
2.145,2.48,0.207,3,Crater
2.966,2.768,0.001,0,drivable_path
3.143,7.217,0.004,0,drivable_path
0.221,0.279,0.019,1,Sml_ph
1.284,0.86,0.066,3,Crater
0.549,0.542,0.02,1,Sml_ph
1.493,1.951,0.052,3,Crater
3.534,7.211,0.003,0,drivable_path
3.451,6.823,0.001,0,drivable_path
0.304,0.203,0.017,1,Sml_ph
0.343,1.423,0.026,2,Mid_ph
3.368,5.696,0.002,0,drivable_path
2.606,5.555,0.006,0,drivable_path
2.828,7.652,0.002,0,drivable_path
0.23,0.484,0.038,2,Mid_ph
3.564,2.739,0.001,0,drivable_path
0.682,1.255,0.138,3,Crater
2.791,4.106,0.004,0,drivable_path
3.702,7.497,0.006,0,drivable_path
3.024,7.814,0.005,0,drivable_path
3.467,4.914,0.007,0,drivable_path
2.963,5.083,0.002,0,drivable_path
0.28,1.033,0.03,2,Mid_ph
3.199,4.172,0.0,0,drivable_path
2.664,3.181,0.007,0,drivable_path
2.991,2.94,0.006,0,drivable_path
3.358,2.568,0.004,0,drivable_path
0.265,1.003,0.03,2,Mid_ph
2.926,5.243,0.004,0,drivable_path
2.964,7.064,0.006,0,drivable_path
2.838,6.404,0.008,0,drivable_path
3.381,6.794,0.004,0,drivable_path
3.712,7.915,0.002,0,drivable_path
3.666,6.924,0.004,0,drivable_path
1.686,1.261,0.178,3,Crater
3.516,4.251,0.006,0,drivable_path
0.264,0.365,0.01,1,Sml_ph
0.905,2.922,0.174,3,Crater
3.481,2.598,0.001,0,drivable_path
3.399,4.877,0.005,0,drivable_path
1.108,3.136,0.056,3,Crater
3.478,2.955,0.004,0,drivable_path
3.484,3.518,0.004,0,drivable_path
0.426,0.905,0.044,2,Mid_ph
0.473,0.543,0.039,2,Mid_ph
0.36,1.092,0.033,2,Mid_ph
3.192,4.679,0.005,0,drivable_path
3.43,2.627,0.008,0,drivable_path
0.287,0.358,0.012,1,Sml_ph
0.646,0.987,0.025,1,Sml_ph
2.658,3.29,0.006,0,drivable_path
3.347,3.17,0.004,0,drivable_path
1.545,1.222,0.079,3,Crater
0.812,2.151,0.233,3,Crater
3.683,4.157,0.005,0,drivable_path
3.254,4.769,0.003,0,drivable_path
1.725,0.702,0.082,3,Crater
2.892,6.585,0.0,0,drivable_path
0.219,0.959,0.017,1,Sml_ph
2.569,3.461,0.0,0,drivable_path
3.736,5.558,0.007,0,drivable_path
0.309,0.366,0.034,2,Mid_ph
0.668,0.253,0.023,1,Sml_ph
3.407,5.618,0.006,0,drivable_path
0.447,0.8,0.033,2,Mid_ph
1.592,2.176,0.23,3,Crater
0.43,1.215,0.037,2,Mid_ph
0.215,0.929,0.015,1,Sml_ph
1.142,1.603,0.126,3,Crater
0.401,1.087,0.042,2,Mid_ph
2.583,5.769,0.001,0,drivable_path
3.656,2.637,0.004,0,drivable_path
0.578,2.573,0.163,3,Crater
3.506,4.631,0.002,0,drivable_path
3.039,6.793,0.007,0,drivable_path
1.279,1.222,0.163,3,Crater
3.211,3.269,0.001,0,drivable_path
0.674,0.289,0.018,1,Sml_ph
0.501,0.152,0.025,1,Sml_ph
2.896,7.741,0.002,0,drivable_path
0.415,0.965,0.02,1,Sml_ph
3.699,6.636,0.004,0,drivable_path
0.267,0.935,0.017,1,Sml_ph
3.532,4.124,0.004,0,drivable_path
3.313,2.997,0.007,0,drivable_path
1.488,3.416,0.127,3,Crater
0.366,0.934,0.015,1,Sml_ph
2.852,4.115,0.005,0,drivable_path
0.736,0.773,0.217,3,Crater
3.01,3.017,0.007,0,drivable_path
2.64,7.245,0.0,0,drivable_path
3.343,6.981,0.007,0,drivable_path
2.714,5.607,0.005,0,drivable_path
2.912,3.295,0.001,0,drivable_path
2.844,7.376,0.002,0,drivable_path
3.465,4.21,0.006,0,drivable_path
0.445,0.519,0.012,1,Sml_ph
3.296,5.648,0.001,0,drivable_path
2.907,7.5,0.004,0,drivable_path
2.752,2.597,0.004,0,drivable_path
0.233,0.438,0.04,2,Mid_ph
3.05,5.542,0.005,0,drivable_path
2.979,6.513,0.004,0,drivable_path
0.178,0.441,0.022,1,Sml_ph
2.976,4.158,0.005,0,drivable_path
3.67,3.256,0.008,0,drivable_path
2.16,3.43,0.219,3,Crater
3.231,3.198,0.007,0,drivable_path
3.32,2.699,0.0,0,drivable_path
3.144,3.908,0.007,0,drivable_path
3.637,5.729,0.007,0,drivable_path
3.567,3.787,0.0,0,drivable_path
2.509,6.828,0.005,0,drivable_path
2.933,2.605,0.001,0,drivable_path
2.746,4.207,0.006,0,drivable_path
3.722,4.764,0.006,0,drivable_path
1.532,3.315,0.245,3,Crater
2.796,3.872,0.005,0,drivable_path
3.076,6.414,0.001,0,drivable_path
3.406,6.395,0.006,0,drivable_path
3.046,3.68,0.003,0,drivable_path
3.509,7.993,0.002,0,drivable_path
3.254,7.916,0.003,0,drivable_path
2.232,2.309,0.122,3,Crater
2.784,5.55,0.001,0,drivable_path
3.238,3.023,0.005,0,drivable_path
2.529,7.772,0.004,0,drivable_path
3.353,3.269,0.002,0,drivable_path
1.912,1.475,0.231,3,Crater
0.383,0.833,0.048,2,Mid_ph
3.063,4.539,0.007,0,drivable_path
3.566,4.414,0.007,0,drivable_path
0.357,0.678,0.039,2,Mid_ph
3.613,7.414,0.004,0,drivable_path
3.419,3.613,0.006,0,drivable_path
0.667,0.905,0.022,1,Sml_ph
2.354,3.305,0.129,3,Crater
3.077,3.387,0.004,0,drivable_path
2.348,2.279,0.052,3,Crater
2.387,0.968,0.209,3,Crater
3.196,6.811,0.005,0,drivable_path
2.943,7.839,0.007,0,drivable_path
0.828,2.538,0.126,3,Crater
3.561,6.089,0.006,0,drivable_path
2.753,4.183,0.005,0,drivable_path
3.093,3.156,0.001,0,drivable_path
0.958,2.694,0.085,3,Crater
3.082,5.374,0.006,0,drivable_path
3.501,5.765,0.006,0,drivable_path
2.956,7.771,0.008,0,drivable_path
0.466,1.096,0.028,2,Mid_ph
3.738,3.279,0.004,0,drivable_path
3.373,7.109,0.0,0,drivable_path
0.318,1.498,0.03,2,Mid_ph
0.319,1.185,0.031,2,Mid_ph
3.289,3.476,0.003,0,drivable_path
0.369,0.762,0.032,2,Mid_ph
2.523,5.776,0.002,0,drivable_path
1.738,0.716,0.143,3,Crater
2.565,5.833,0.006,0,drivable_path
0.324,0.563,0.045,2,Mid_ph
3.715,5.254,0.001,0,drivable_path
3.656,7.024,0.0,0,drivable_path
3.15,6.899,0.003,0,drivable_path
1.456,1.823,0.064,3,Crater
0.366,0.901,0.042,2,Mid_ph
0.37,0.961,0.046,2,Mid_ph
3.6,5.449,0.005,0,drivable_path
3.166,5.981,0.002,0,drivable_path
3.135,5.192,0.003,0,drivable_path
2.752,3.187,0.004,0,drivable_path
2.897,5.275,0.007,0,drivable_path
3.725,5.022,0.006,0,drivable_path
0.302,1.257,0.046,2,Mid_ph
0.627,3.409,0.113,3,Crater
3.032,6.086,0.007,0,drivable_path
3.373,3.639,0.002,0,drivable_path
